1	 2.373203039 	 0.026759863 	 0.195418835 
2	 1.218335867 	 0.039828062 	 0.015090942 
4	 0.581096172 	 0.020744085 	 0.010356903 
8	 0.314054966 	 0.012594938 	 0.008690119 
16	 0.140043020 	 0.006499767 	 0.005342007 
32	 0.069187880 	 0.003782034 	 0.004858971 
64	 0.036609888 	 0.002811193 	 0.004356146 
128	 0.018144131 	 0.002011061 	 0.004029989 
256	 0.009171963 	 0.001738071 	 0.003854036 
512	 0.005203962 	 0.003166914 	 0.003880978 
1024	 0.002928972 	 0.002418995 	 0.003777981 
2048	 0.001996994 	 0.001899958 	 0.003738880 
4096	 0.001431942 	 0.001521111 	 0.003593922 
